Weergave_Naam,Locatie,Kaartweergave,Categorie,Aflevering,Waarde,Latitude,Longitude,Link
Puerto Rico,Puerto Rico,Punt,Rafelrandjes,Rafelrandjes #4,1,18.22,-66.59,https://www.grotepodcastlas.nl/aflevering/puerto-rico
Rusland,Russia,Land,Reguliere aflevering,Afl. 122,1,61.524,105.3188,https://www.grotepodcastlas.nl/aflevering/rusland
Kaapverdië,Cape Verde,Land,Reguliere aflevering,Afl. 123,1,16.0021,-24.0132,https://www.grotepodcastlas.nl/aflevering/kaapverdie
Libanon,Lebanon,Land,Reguliere aflevering,Afl. 124,1,33.8547,35.8623,https://www.grotepodcastlas.nl/aflevering/libanon
Kenia,Kenya,Land,Reguliere aflevering,Afl. 125,1,-0.0236,37.9062,https://www.grotepodcastlas.nl/aflevering/kenia
Nauru,Nauru,Land,Reguliere aflevering,Afl. 126,1,-0.5228,166.9315,https://www.grotepodcastlas.nl/aflevering/nauru
Zweden,Sweden,Land,Reguliere aflevering,Afl. 127,1,60.1282,18.6435,https://www.grotepodcastlas.nl/aflevering/zweden
Libië,Libya,Land,Reguliere aflevering,Afl. 128,1,26.3351,17.2283,https://www.grotepodcastlas.nl/aflevering/libie
Oost-Timor,East Timor,Land,Reguliere aflevering,Afl. 129,1,-8.8742,125.7275,https://www.grotepodcastlas.nl/aflevering/oost-timor
Venezuela,Venezuela,Land,Reguliere aflevering,Afl. 130,1,6.4238,-66.5897,https://www.grotepodcastlas.nl/aflevering/venezuela
eSwatini,Eswatini,Land,Reguliere aflevering,Afl. 131,1,-26.5225,31.4659,https://www.grotepodcastlas.nl/aflevering/eswatini
Noord-Korea,North Korea,Land,Reguliere aflevering,Afl. 132,1,40.3399,127.5101,https://www.grotepodcastlas.nl/aflevering/noord-korea
Afrika,Africa,Punt,Werelddeel,Werelddeel #2,1,8.78,34.5,https://www.grotepodcastlas.nl/aflevering/afrika
Noord-Macedonië,North Macedonia,Land,Reguliere aflevering,Afl. 133,1,41.6086,21.7453,https://www.grotepodcastlas.nl/aflevering/noord-macedonie
Bahrein,Bahrain,Land,Reguliere aflevering,Afl. 134,1,26.0667,50.5577,https://www.grotepodcastlas.nl/aflevering/bahrein
Togo,Togo,Land,Reguliere aflevering,Afl. 135,1,8.6195,0.8248,https://www.grotepodcastlas.nl/aflevering/togo
Thailand,Thailand,Land,Reguliere aflevering,Afl. 136,1,15.87,100.9925,https://www.grotepodcastlas.nl/aflevering/thailand
Italië,Italy,Punt,Kids,Kids #1,1,41.87,12.56,https://www.grotepodcastlas.nl/aflevering/kids-italie
Frankrijk,France,Punt,Kids,Kids #2,1,46.22,2.21,https://www.grotepodcastlas.nl/aflevering/kids-frankrijk
België,Belgium,Punt,Kids,Kids #3,1,50.5,4.46,https://www.grotepodcastlas.nl/aflevering/kids-belgie
Duitsland,Germany,Punt,Kids,Kids #4,1,51.16,10.45,https://www.grotepodcastlas.nl/aflevering/kids-duitsland
Aruba,Aruba,Punt,Eilanden,Eilanden #1,1,12.52,-69.96,https://www.grotepodcastlas.nl/aflevering/aruba
Griekenland,Greece,Punt,Kids,Kids #5,1,39.07,21.82,https://www.grotepodcastlas.nl/aflevering/kids-griekenland
Denemarken,Denmark,Punt,Kids,Kids #6,1,56.26,9.5,https://www.grotepodcastlas.nl/aflevering/kids-denemarken
Saba,Saba,Punt,Eilanden,Eilanden #2,1,17.63,-63.23,https://www.grotepodcastlas.nl/aflevering/saba
Oostenrijk,Austria,Punt,Kids,Kids #7,1,47.51,14.55,https://www.grotepodcastlas.nl/aflevering/kids-oostenrijk
Spanje,Spain,Punt,Kids,Kids #8,1,40.46,-3.74,https://www.grotepodcastlas.nl/aflevering/kids-spanje
Sint Maarten,Sint Maarten,Punt,Eilanden,Eilanden #3,1,18.04,-63.05,https://www.grotepodcastlas.nl/aflevering/sint-maarten
Verenigd Koninkrijk,United Kingdom,Punt,Kids,Kids #9,1,55.37,-3.43,https://www.grotepodcastlas.nl/aflevering/kids-verenigd-koninkrijk
Nederland,Netherlands,Punt,Kids,Kids #10,1,52.13,5.29,https://www.grotepodcastlas.nl/aflevering/kids-nederland
Bonaire,Bonaire,Punt,Eilanden,Eilanden #4,1,12.17,-68.23,https://www.grotepodcastlas.nl/aflevering/bonaire
Sint Eustatius,Sint Eustatius,Punt,Eilanden,Eilanden #5,1,17.48,-62.97,https://www.grotepodcastlas.nl/aflevering/sint-eustatius
Curaçao,Curaçao,Punt,Eilanden,Eilanden #6,1,12.16,-68.99,https://www.grotepodcastlas.nl/aflevering/curacao
Berlijn,Berlin,Punt,Wereldstad,Wereldstad #11,1,52.52,13.4,https://www.grotepodcastlas.nl/aflevering/berlijn
Rio de Janeiro,Rio de Janeiro,Punt,Wereldstad,Wereldstad #12,1,-22.9,-43.2,https://www.grotepodcastlas.nl/aflevering/rio-de-janeiro
India,India,Land,Reguliere aflevering,Afl. 137,1,20.5937,78.9629,https://www.grotepodcastlas.nl/aflevering/india
Zuid-Amerika,South America,Punt,Werelddeel,Werelddeel #3,1,-14.6,-57.66,https://www.grotepodcastlas.nl/aflevering/zuid-amerika
Polen,Poland,Land,Reguliere aflevering,Afl. 138,1,51.9194,19.1451,https://www.grotepodcastlas.nl/aflevering/polen
Kiribati,Kiribati,Land,Reguliere aflevering,Afl. 139,1,-3.3704,-168.734,https://www.grotepodcastlas.nl/aflevering/kiribati
Republiek Congo,Republic of Congo,Land,Reguliere aflevering,Afl. 140,1,-0.228,15.8277,https://www.grotepodcastlas.nl/aflevering/republiek-congo
Suriname,Suriname,Land,Reguliere aflevering,Afl. 141,1,3.9193,-56.0278,https://www.grotepodcastlas.nl/aflevering/suriname
Andorra,Andorra,Land,Reguliere aflevering,Afl. 142,1,42.5063,1.5218,https://www.grotepodcastlas.nl/aflevering/andorra
Syrië,Syria,Land,Reguliere aflevering,Afl. 143,1,34.8021,38.9968,https://www.grotepodcastlas.nl/aflevering/syrie
Nieuw-Zeeland,New Zealand,Land,Reguliere aflevering,Afl. 144,1,-40.9006,174.886,https://www.grotepodcastlas.nl/aflevering/nieuw-zeeland
Malawi,Malawi,Land,Reguliere aflevering,Afl. 145,1,-13.2543,34.3015,https://www.grotepodcastlas.nl/aflevering/malawi
Rome,Rome,Punt,Wereldstad,Wereldstad #13,1,41.9,12.49,https://www.grotepodcastlas.nl/aflevering/rome
Los Angeles,Los Angeles,Punt,Wereldstad,Wereldstad #14,1,34.05,-118.24,https://www.grotepodcastlas.nl/aflevering/los-angeles
Moldavië,Moldova,Land,Reguliere aflevering,Afl. 146,1,47.4116,28.3699,https://www.grotepodcastlas.nl/aflevering/moldavie
Guinee-Bissau,Guinea-Bissau,Land,Reguliere aflevering,Afl. 147,1,11.8037,-15.1804,https://www.grotepodcastlas.nl/aflevering/guinee-bissau
Pakistan,Pakistan,Land,Reguliere aflevering,Afl. 148,1,30.3753,69.3451,https://www.grotepodcastlas.nl/aflevering/pakistan
Lapland,Lapland,Punt,Rafelrandjes,Rafelrandjes #5,1,67.9,26.5,https://www.grotepodcastlas.nl/aflevering/lapland
Molukken,Maluku,Punt,Rafelrandjes,Rafelrandjes #6,1,-3.0,130.0,https://www.grotepodcastlas.nl/aflevering/molukken
Koerdistan,Kurdistan,Punt,Rafelrandjes,Rafelrandjes #7,1,37.0,43.0,https://www.grotepodcastlas.nl/aflevering/koerdistan
Baskenland,Basque Country,Punt,Rafelrandjes,Rafelrandjes #8,1,43.0,-2.5,https://www.grotepodcastlas.nl/aflevering/baskenland
El Salvador,El Salvador,Land,Reguliere aflevering,Afl. 149,1,13.7942,-88.8965,https://www.grotepodcastlas.nl/aflevering/el-salvador
Hongarije,Hungary,Land,Reguliere aflevering,Afl. 150,1,47.1625,19.5033,https://www.grotepodcastlas.nl/aflevering/hongarije
Saint Vincent en de Grenadines,Saint Vincent and the Grenadines,Land,Reguliere aflevering,Afl. 151,1,13.2528,-61.1971,https://www.grotepodcastlas.nl/aflevering/saint-vincent-en-de-grenadines
Nigeria,Nigeria,Land,Reguliere aflevering,Afl. 152,1,9.082,8.6753,https://www.grotepodcastlas.nl/aflevering/nigeria
