Weergave_Naam,Locatie,Kaartweergave,Categorie,Aflevering,Waarde,Latitude,Longitude,Link
VK: Noord-Ierland,VK: Noord-Ierland,Land,Reguliere aflevering,Afl. 73,1,54.5859836,-6.9591554,https://www.grotepodcastlas.nl/aflevering/vk-noord-ierland
VK: Wales,VK: Wales,Land,Reguliere aflevering,Afl. 72,1,52.2928116,-3.73893,https://www.grotepodcastlas.nl/aflevering/vk-wales
VK: Engeland,VK: Engeland,Land,Reguliere aflevering,Afl. 71,1,52.5310214,-1.2649062,https://www.grotepodcastlas.nl/aflevering/vk-engeland
Een andere kijk op toerisme,Een andere kijk op toerisme,Punt,Special,Special 8,1,,,https://www.grotepodcastlas.nl/aflevering/een-andere-kijk-op-toerisme
China's wereldambitie,China's wereldambitie,Punt,Special,Special 7,1,,,https://www.grotepodcastlas.nl/aflevering/chinas-wereldambitie
De erfenis van Pinochet,De erfenis van Pinochet,Punt,Special,Special 6,1,,,https://www.grotepodcastlas.nl/aflevering/de-erfenis-van-pinochet
Van Atatürk tot Erdoğan,Van Atatürk tot Erdoğan,Punt,Special,Special 5,1,,,https://www.grotepodcastlas.nl/aflevering/van-ataturk-tot-erdogan
Langs de nieuwe zijderoute,Langs de nieuwe zijderoute,Punt,Special,Special 4,1,,,https://www.grotepodcastlas.nl/aflevering/langs-de-nieuwe-zijderoute
De oorlog in Oekraïne,De oorlog in Oekraïne,Punt,Special,Special 3,1,,,https://www.grotepodcastlas.nl/aflevering/de-oorlog-in-oekraine
Nederland in het buitenland,Nederland in het buitenland,Punt,Special,Special 2,1,,,https://www.grotepodcastlas.nl/aflevering/nederland-in-het-buitenland
Internationale scheepvaart,Internationale scheepvaart,Punt,Special,Special 1,1,,,https://www.grotepodcastlas.nl/aflevering/internationale-scheepvaart
Colombia,Colombia,Land,Reguliere aflevering,Afl. 1,1,4.5709,-74.2973,https://www.grotepodcastlas.nl/aflevering/colombia
Zuid-Korea,South Korea,Land,Reguliere aflevering,Afl. 2,1,35.9078,127.7669,https://www.grotepodcastlas.nl/aflevering/zuid-korea
Ierland,Ireland,Land,Reguliere aflevering,Afl. 3,1,53.1424,-7.6921,https://www.grotepodcastlas.nl/aflevering/ierland
Tunesië,Tunisia,Land,Reguliere aflevering,Afl. 4,1,33.8869,9.5375,https://www.grotepodcastlas.nl/aflevering/tunesie
Kazachstan,Kazakhstan,Land,Reguliere aflevering,Afl. 5,1,48.0196,66.9237,https://www.grotepodcastlas.nl/aflevering/kazachstan
Georgië,Georgia,Land,Reguliere aflevering,Afl. 6,1,42.3154,43.3569,https://www.grotepodcastlas.nl/aflevering/georgie
Fiji,Fiji,Land,Reguliere aflevering,Afl. 7,1,-17.7134,178.065,https://www.grotepodcastlas.nl/aflevering/fiji
Barbados,Barbados,Land,Reguliere aflevering,Afl. 8,1,13.1939,-59.5432,https://www.grotepodcastlas.nl/aflevering/barbados
Zimbabwe,Zimbabwe,Land,Reguliere aflevering,Afl. 9,1,-19.0154,29.1549,https://www.grotepodcastlas.nl/aflevering/zimbabwe
Albanië,Albania,Land,Reguliere aflevering,Afl. 10,1,41.1533,20.1683,https://www.grotepodcastlas.nl/aflevering/albanie
Costa Rica,Costa Rica,Land,Reguliere aflevering,Afl. 11,1,9.7489,-83.7534,https://www.grotepodcastlas.nl/aflevering/costa-rica
Australië,Australia,Land,Reguliere aflevering,Afl. 12,1,-25.2744,133.7751,https://www.grotepodcastlas.nl/aflevering/australie
Sierra Leone,Sierra Leone,Land,Reguliere aflevering,Afl. 13,1,8.4606,-11.7799,https://www.grotepodcastlas.nl/aflevering/sierra-leone
Bangladesh,Bangladesh,Land,Reguliere aflevering,Afl. 14,1,23.685,90.3563,https://www.grotepodcastlas.nl/aflevering/bangladesh
Denemarken,Denmark,Land,Reguliere aflevering,Afl. 15,1,56.2639,9.5018,https://www.grotepodcastlas.nl/aflevering/denemarken
Paraguay,Paraguay,Land,Reguliere aflevering,Afl. 16,1,-23.4425,-58.4438,https://www.grotepodcastlas.nl/aflevering/paraguay
Verenigde Arabische Emiraten,United Arab Emirates,Land,Reguliere aflevering,Afl. 17,1,23.4241,53.8478,https://www.grotepodcastlas.nl/aflevering/verenigde-arabische-emiraten
Kameroen,Cameroon,Land,Reguliere aflevering,Afl. 18,1,3.848,11.5021,https://www.grotepodcastlas.nl/aflevering/kameroen
Slovenië,Slovenia,Land,Reguliere aflevering,Afl. 19,1,46.1512,14.9955,https://www.grotepodcastlas.nl/aflevering/slovenie
Tuvalu,Tuvalu,Land,Reguliere aflevering,Afl. 20,1,-7.1095,177.6493,https://www.grotepodcastlas.nl/aflevering/tuvalu
Haïti,Haiti,Land,Reguliere aflevering,Afl. 21,1,18.9712,-72.2852,https://www.grotepodcastlas.nl/aflevering/haiti
Laos,Laos,Land,Reguliere aflevering,Afl. 22,1,19.8563,102.4955,https://www.grotepodcastlas.nl/aflevering/laos
Tanzania,Tanzania,Land,Reguliere aflevering,Afl. 23,1,-6.369,34.8888,https://www.grotepodcastlas.nl/aflevering/tanzania
Portugal,Portugal,Land,Reguliere aflevering,Afl. 24,1,39.3999,-8.2245,https://www.grotepodcastlas.nl/aflevering/portugal
Sri Lanka,Sri Lanka,Land,Reguliere aflevering,Afl. 25,1,7.8731,80.7718,https://www.grotepodcastlas.nl/aflevering/sri-lanka
Lesotho,Lesotho,Land,Reguliere aflevering,Afl. 26,1,-29.61,28.2336,https://www.grotepodcastlas.nl/aflevering/lesotho
Guatemala,Guatemala,Land,Reguliere aflevering,Afl. 27,1,15.7835,-90.2308,https://www.grotepodcastlas.nl/aflevering/guatemala
Senegal,Senegal,Land,Reguliere aflevering,Afl. 28,1,14.4974,-14.4524,https://www.grotepodcastlas.nl/aflevering/senegal
Vaticaanstad,Vatican City,Land,Reguliere aflevering,Afl. 29,1,41.9029,12.4534,https://www.grotepodcastlas.nl/aflevering/vaticaanstad
Tadzjikistan,Tajikistan,Land,Reguliere aflevering,Afl. 30,1,38.861,71.2761,https://www.grotepodcastlas.nl/aflevering/tadzjikistan
Madagaskar,Madagascar,Land,Reguliere aflevering,Afl. 31,1,-18.7669,46.8691,https://www.grotepodcastlas.nl/aflevering/madagaskar
Saint Kitts & Nevis,Saint Kitts and Nevis,Land,Reguliere aflevering,Afl. 32,1,17.3578,-62.783,https://www.grotepodcastlas.nl/aflevering/saint-kitts-nevis
Duitsland,Germany,Land,Reguliere aflevering,Afl. 33,1,51.1657,10.4515,https://www.grotepodcastlas.nl/aflevering/duitsland
Jordanië,Jordan,Land,Reguliere aflevering,Afl. 34,1,31.24,36.51,https://www.grotepodcastlas.nl/aflevering/jordanie
Benin,Benin,Land,Reguliere aflevering,Afl. 35,1,9.3077,2.3158,https://www.grotepodcastlas.nl/aflevering/benin
Cuba,Cuba,Land,Reguliere aflevering,Afl. 36,1,21.5218,-77.7812,https://www.grotepodcastlas.nl/aflevering/cuba
Micronesië,Micronesia,Land,Reguliere aflevering,Afl. 37,1,7.4256,150.5508,https://www.grotepodcastlas.nl/aflevering/micronesie
Letland,Latvia,Land,Reguliere aflevering,Afl. 38,1,56.8796,24.6032,https://www.grotepodcastlas.nl/aflevering/letland
Brazilië,Brazil,Land,Reguliere aflevering,Afl. 39,1,-14.235,-51.9253,https://www.grotepodcastlas.nl/aflevering/brazilie
Democratische Republiek Congo,Democratic Republic of the Congo,Land,Reguliere aflevering,Afl. 40,1,-4.0383,21.7587,https://www.grotepodcastlas.nl/aflevering/democratische-republiek-congo
Noorwegen,Norway,Land,Reguliere aflevering,Afl. 41,1,60.472,8.4689,https://www.grotepodcastlas.nl/aflevering/noorwegen
Qatar,Qatar,Land,Reguliere aflevering,Afl. 42,1,25.3548,51.1839,https://www.grotepodcastlas.nl/aflevering/qatar
Seychellen,Seychelles,Land,Reguliere aflevering,Afl. 43,1,-4.6796,55.492,https://www.grotepodcastlas.nl/aflevering/seychellen
